categoria,pregunta,respuesta
Préstamos,¿Quién puede solicitar préstamos a domicilio?,"Las personas con credencial vigente de la biblioteca y sin adeudos, multas o sanciones activas pueden solicitar préstamos a domicilio."
Préstamos,¿Cuántos libros puedo llevar a la vez?,Cada usuario puede llevar hasta 5 libros al mismo tiempo con su credencial vigente.
Préstamos,¿Por cuántos días puedo llevar un libro a mi casa?,El préstamo a domicilio es por 14 días naturales.
Préstamos,¿Puedo llevarme cualquier libro a domicilio?,Los libros disponibles para préstamo pueden llevarse a domicilio. Los ejemplares señalados exclusivamente para consulta en sala no pueden salir de la biblioteca.
Préstamos,¿Puede otra persona usar mi credencial?,No. La credencial es personal e intransferible y su titular es responsable de todos los préstamos realizados con ella.
Renovaciones,¿Cuántas veces puedo renovar un préstamo?,Cada préstamo puede renovarse hasta 2 veces por periodos de 14 días.
Renovaciones,¿Cuándo puedo renovar un libro?,"Puedes renovarlo antes de la fecha de vencimiento, siempre que otro usuario no lo haya solicitado y que tu cuenta no tenga adeudos, multas o sanciones."
Renovaciones,¿Cómo renuevo un préstamo?,Puedes solicitar la renovación en el mostrador de atención o por los medios de contacto habilitados por la biblioteca.
Renovaciones,¿Desde qué fecha se cuentan los días de una renovación?,El nuevo periodo de 14 días se cuenta a partir de la fecha en que se realiza la renovación.
Reservas,¿Puedo reservar un libro prestado?,Sí. Puedes solicitar la reserva de un libro que se encuentre prestado y la biblioteca te avisará cuando esté disponible.
Reservas,¿Cuánto tiempo guardan un libro reservado?,"Una vez notificada la disponibilidad, el libro se conservará apartado durante 3 días hábiles. Después de ese plazo podrá asignarse al siguiente usuario o volver a estar disponible."
Devoluciones,¿Dónde debo devolver los libros?,Los libros deben devolverse en el mostrador o en el punto de devolución indicado por la biblioteca.
Devoluciones,¿Puede otra persona devolver mis libros?,"Sí. Cualquier persona puede devolverlos, pero la responsabilidad del préstamo continúa siendo del titular de la credencial hasta que la devolución quede registrada."
Devoluciones,¿Cómo sé cuándo debo devolver un libro?,La fecha de devolución aparece en el comprobante de préstamo y puede consultarse con el personal de la biblioteca.
Multas,¿Qué pasa si entrego un libro tarde?,Se aplica una multa de $2 pesos por cada día natural de retraso y por cada libro.
Multas,¿La multa deja de aumentar cuando devuelvo el libro?,"Sí. La multa deja de acumularse cuando la devolución queda registrada, pero el adeudo debe pagarse para recuperar el servicio de préstamo."
Multas,¿Puedo pedir más libros si tengo una multa pendiente?,No. El préstamo y la renovación se suspenden hasta que se devuelvan todos los libros vencidos y se paguen las multas correspondientes.
Sanciones,¿Qué pasa si no devuelvo un libro?,Se suspenderá temporalmente el derecho a préstamo hasta que el libro sea devuelto o repuesto y se cubran las multas aplicables.
