titulo,autor,genero,isbn,copias_disponibles,ubicacion
Cien Años de Soledad,Gabriel García Márquez,Novela,978-0307474728,3,Sección A - Estante 2
El Principito,Antoine de Saint-Exupéry,Infantil,978-0156012195,5,Sección Infantil - Estante 1
1984,George Orwell,Ciencia Ficción,978-0451524935,2,Sección B - Estante 4
Rayuela,Julio Cortázar,Novela,978-8437604572,1,Sección A - Estante 3
Harry Potter y la Piedra Filosofal,J.K. Rowling,Fantasía Juvenil,978-8478884452,4,Sección Juvenil - Estante 1
Breve Historia del Tiempo,Stephen Hawking,Ciencia,978-8484329106,2,Sección C - Estante 1
La Casa de los Espíritus,Isabel Allende,Novela,978-8401352836,2,Sección A - Estante 2
Don Quijote de la Mancha,Miguel de Cervantes,Clásico,978-8420412146,3,Sección Clásicos - Estante 1
Introducción a la ciudadanía,Noemí García,Filosofía,978-1000000009,0,Sección Humanidades - Estante 8
Introducción al grabado,Jorge Fernández,Arte,978-1000000016,3,Sección Arte - Estante 7
El jardín en la ventana,Diego Márquez Medina,Novela,978-1000000023,4,Sección A - Estante 10
El verano de la azotea,Silvia Lara,Juvenil,978-1000000030,2,Sección Juvenil - Estante 3
Memorias de un médico de barrio,Rubén Castillo,Biografía,978-1000000047,3,Sección Historia - Estante 11
El misterio de estrella,Alicia Díaz,Juvenil,978-1000000054,2,Sección Juvenil - Estante 7
Las voces de las jacarandas,Daniel Escobar,Novela,978-1000000061,4,Sección A - Estante 10
Guía básica de ciencias,Rubén Salazar,Referencia,978-1000000078,7,Sección Referencia - Estante 8
Guía de la astronomía,Raquel Morales,Ciencia,978-1000000085,2,Sección Ciencia - Estante 10
Mi primer luna de papel,Susana Campos,Infantil,978-1000000092,1,Sección Infantil - Estante 10
Panorama de el siglo XX,Silvia Rivera Benítez,Historia,978-1000000108,1,Sección Historia - Estante 3
El silencio del barrio,Francisco Blanco Rojas,Novela,978-1000000115,2,Sección A - Estante 12
El club de la noche interminable,Arturo Vargas,Juvenil,978-1000000122,7,Sección Juvenil - Estante 3
La noche de tlacuache,Daniela Vega,Infantil,978-1000000139,3,Sección Infantil - Estante 7
Órbita la frontera solar,Elena Robles Arellano,Ciencia Ficción,978-1000000146,2,Sección B - Estante 12
El caso de Coyoacán,Laura Velasco,Misterio,978-1000000153,2,Sección B - Estante 7
La noche de gato del mercado,Alejandra Gómez,Infantil,978-1000000160,7,Sección Infantil - Estante 5
Introducción a la migración,Julia Robles Méndez,Ciencias Sociales,978-1000000177,3,Sección Humanidades - Estante 10
El jardín de las jacarandas,Teresa Marín,Novela,978-1000000184,3,Sección A - Estante 10
La pandilla de ajolote,Adriana Fuentes,Infantil,978-1000000191,2,Sección Infantil - Estante 4
La ciudad de los inconformes,Cecilia Cárdenas Gutiérrez,Juvenil,978-1000000207,2,Sección Juvenil - Estante 7
Crimen en Coyoacán,Esther Barrera,Misterio,978-1000000214,2,Sección B - Estante 4
Voces de la infancia,Beatriz Cortés,Cuento,978-1000000221,2,Sección A - Estante 8
Atlas histórico de los movimientos sociales,Juan Márquez Ortega,Historia,978-1000000238,5,Sección Historia - Estante 8
Vida de un médico de barrio,Isabel Rivera,Biografía,978-1000000245,3,Sección Historia - Estante 10
El club de la estación,Sandra Luna,Juvenil,978-1000000252,3,Sección Juvenil - Estante 1
Introducción a los océanos,Gerardo Zúñiga,Ciencia,978-1000000269,3,Sección Ciencia - Estante 3
Atlas ilustrado de la lengua española,Martha Santos,Referencia,978-1000000276,3,Sección Referencia - Estante 10
El mapa sin regreso,Josefina Zamora,Novela,978-1000000283,2,Sección A - Estante 11
El viaje de tren de colores,Adriana Castro,Infantil,978-1000000290,1,Sección Infantil - Estante 12
México durante la Independencia,Rodrigo Morales,Historia de México,978-1000000306,0,Sección Historia - Estante 11
Inventario de las jacarandas,Miguel Vega,Poesía,978-1000000313,6,Sección A - Estante 2
El secreto de tren de colores,Irene Robles,Infantil,978-1000000320,6,Sección Infantil - Estante 9
Introducción a el conocimiento,Silvia Peña,Filosofía,978-1000000337,5,Sección Humanidades - Estante 10
La última misión a Tenochtitlan,Juan Márquez,Ciencia Ficción,978-1000000344,5,Sección B - Estante 9
